type,url
audio,"https://rr2---sn-npoeenlk.c.drive.google.com/videoplayback?expire=1770638264&ei=iKGJaY7iCJ742O8PqrmmYQ&ip=2402:800:62f6:161f:8cf:2381:c971:d29a&id=47069295b4426d6e&itag=140&source=webdrive&requiressl=yes&xpc=EghonaK1InoBAQ==&met=1770627464,&mh=Nq&mm=32,26&mn=sn-npoeenlk,sn-ogueln67&ms=su,onr&mv=m&mvi=2&pl=48&rms=su,su&sc=yes&ttl=transient&susc=dr&obr=https://drive.google.com&svpuc=1&driveid=1L2T-B0vRZCBdXVWPqahK9ifEYLDY-E8O&app=explorer&eaua=JA-uLzRK0Z4&mime=audio/mp4&vprv=1&prv=1&rqh=1&gir=yes&clen=5594419&dur=345.629&lmt=1730043465616719&mt=1770627174&fvip=4&subapp=DRIVE_WEB_FILE_VIEWER&txp=0000224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,ttl,susc,obr,svpuc,driveid,app,eaua,mime,vprv,prv,rqh,gir,clen,dur,lmt&sig=AJEij0EwRQIgWWjj85LKwOjSXlavLXzSCNtgM3f64tHmKWWfjRceaGwCIQC0E7yiz1FjEU16pq3THOtLTynyJMVvot_CwV9C_i6azA==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIgJkNnAnqNF8CBoOGxvJzdwSP6f7L8FOnPdjVqRQUVaoUCIQCYFQtW3c8zA4dASS8NNSbNvE3_bvcQhOktV_xU1dOpxg==&alr=yes&cpn=1myX2fR0gIkoDoRD&c=WEB_EMBEDDED_PLAYER&cver=1.20260202.04.00"
video,"https://rr2---sn-npoeenlk.c.drive.google.com/videoplayback?expire=1770638264&ei=iKGJaY7iCJ742O8PqrmmYQ&ip=2402:800:62f6:161f:8cf:2381:c971:d29a&id=47069295b4426d6e&itag=136&source=webdrive&requiressl=yes&xpc=EghonaK1InoBAQ==&met=1770627464,&mh=Nq&mm=32,26&mn=sn-npoeenlk,sn-ogueln67&ms=su,onr&mv=m&mvi=2&pl=48&rms=su,su&sc=yes&ttl=transient&susc=dr&obr=https://drive.google.com&svpuc=1&driveid=1L2T-B0vRZCBdXVWPqahK9ifEYLDY-E8O&app=explorer&eaua=JA-uLzRK0Z4&mime=video/mp4&vprv=1&prv=1&rqh=1&gir=yes&clen=6533415&dur=345.566&lmt=1730043532587949&mt=1770627174&fvip=4&subapp=DRIVE_WEB_FILE_VIEWER&txp=0000224&sparams=expire,ei,ip,id,itag,source,requiressl,xpc,ttl,susc,obr,svpuc,driveid,app,eaua,mime,vprv,prv,rqh,gir,clen,dur,lmt&sig=AJEij0EwRQIhALyx_-ImrJ-tI46Qo50Dsv8BPG1fsC4NUpUla2uw2_QCAiA-6BoxIfEpECvoN9f3ILwSOoq6s9VkxeO4uw9C3RKPKQ==&lsparams=met,mh,mm,mn,ms,mv,mvi,pl,rms,sc&lsig=APaTxxMwRQIgei3d2MNXJ1fKnKAaJRkybC23un_rh1UoQmCnvBomthACIQDBa0Oc5ScfZflpa1ARpKP93d4O5q2VUohKO4Ru5IVQXA==&alr=yes&cpn=1myX2fR0gIkoDoRD&c=WEB_EMBEDDED_PLAYER&cver=1.20260202.04.00"
